Tiempo,Canal 1,Canal 2,Canal 3,Canal 4
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.032258063554763794,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,-0.016129031777381897,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,-0.016129031777381897,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.032258063554763794,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.016129031777381897
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,-0.016260161995887756,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.016129031777381897,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.016129031777381897
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.016129031777381897
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.016129031777381897
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.032258063554763794,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.016129031777381897
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,-0.016129031777381897,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.08064515888690948,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.016129031777381897
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,-0.016129031777381897,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.016129031777381897
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.016129031777381897
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.016129031777381897
,0.04838709533214569,0.0,0.0,0.016129031777381897
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.016129031777381897,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.016129031777381897
,0.04838709533214569,0.0,0.0,0.016129031777381897
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.016129031777381897
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.016129031777381897,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,-0.016260161995887756,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.016129031777381897
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,-0.016129031777381897,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.0
,0.032258063554763794,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
,0.06451612710952759,0.0,0.0,0.016129031777381897
,0.04838709533214569,0.0,0.0,0.0
,0.04838709533214569,0.0,0.0,0.0
